id_livre,id_award,date
7894642,20,2011-01-01
77362,20,1992-01-01
189015,20,2004-01-01
61887,20,2006-01-01
30165203,20,2002-01-01
9361589,20,2012-01-01
14497,20,1998-01-01
17675462,20,2017-01-01
15783514,20,2014-01-01
17347389,20,2017-01-01
24983,20,1993-01-01
35959740,20,2019-01-01
17378527,20,2017-01-01
17378508,20,2017-01-01
8694389,20,2012-01-01
20958632,20,2016-01-01
22522805,20,2016-01-01
61904,20,2004-01-01
16248223,20,2014-01-01
223380,20,2003-01-01
8087,20,1994-01-01
38657,20,2007-01-01
9688286,20,2011-01-01
51106,20,1992-01-01
18665033,20,2015-01-01
3217221,20,2015-01-01
186427,20,1999-01-01
13658,20,2002-01-01
8706185,20,2012-01-01
104097,20,2001-01-01
31944679,20,2019-01-01
104091,20,2001-01-01
17645,20,2006-01-01
3973532,20,2010-01-01
2214574,21,2010-01-01
7163862,21,2017-01-01
13512946,21,2012-01-01
14686,21,2008-01-01
6063110,21,2012-01-01
781124,21,2007-01-01
1353409,21,2018-01-01
81070,21,2009-01-01
21066604,21,2017-01-01
1386012,21,2011-01-01
12408152,21,2010-01-01
186074,21,2011-01-01
37442,21,2009-01-01
43545,21,2019-01-01
1215032,21,2016-01-01
68428,21,2018-01-01
25480342,21,2017-01-01
47989,21,2011-01-01
29588376,21,2008-01-01
10374,21,2016-01-01
89724,21,2019-01-01
17343,21,2014-01-01
22055262,21,2020-01-01
64222,21,2013-01-01
944073,21,2010-01-01
597790,21,2008-01-01
147915,21,2007-01-01
15790842,21,2015-01-01
3018539,21,2009-01-01
33597976,21,2014-01-01
4703581,21,2012-01-01
9591398,21,2014-01-01
60211,21,2013-01-01
18137087,21,2016-01-01
373915,21,2010-01-01
41021196,21,2019-01-01
45152372,21,2019-01-01
129798,21,2015-01-01
2214574,22,2008-01-01
218573,22,2006-01-01
16059409,22,2013-01-01
23374690,22,2014-01-01
229033,22,2007-01-01
23346643,22,2015-01-01
7767021,22,2010-01-01
189111,22,1998-01-01
2015492,22,2007-01-01
9359818,22,2011-01-01
2157324,22,2008-01-01
379343,22,2005-01-01
25372801,22,2016-01-01
17332243,22,2013-01-01
943402,22,2008-01-01
68494,22,2000-01-01
2986865,22,2008-01-01
15819028,22,2013-01-01
6437061,22,2010-01-01
25526296,22,2016-01-01
17650,22,1993-01-01
9464733,22,2011-01-01
44537,22,1997-01-01
100476,22,2004-01-01
4717491,22,2008-01-01
60932,22,1998-01-01
2662169,22,2008-01-01
7163862,23,2011-01-01
334176,23,1998-01-01
68494,23,2001-01-01
20170404,23,2015-01-01
823,23,2004-01-01
4703581,23,2010-01-01
17333324,23,2014-01-01
788331,23,1993-01-01
25499718,23,2016-01-01
17401136,23,1994-01-01
7163862,24,2011-01-01
19580,24,1981-01-01
23019294,24,2016-01-01
34605,24,1986-01-01
92762,24,1980-01-01
15670,24,1988-01-01
102885,24,1995-01-01
417656,24,1990-01-01
25692886,24,2017-01-01
1433355,24,2008-01-01
230853,24,2004-01-01
11933,24,2000-01-01
944555,24,2004-01-01
24860071,24,2013-01-01
490966,24,2006-01-01
257333,24,1997-01-01
906491,24,1994-01-01
8970727,24,1993-01-01
101949,24,2005-01-01
3034292,24,1999-01-01
463376,24,1982-01-01
12854800,24,2013-01-01
70581,24,2008-01-01
463378,24,1983-01-01
176333,24,1996-01-01
77309,24,1984-01-01
3676719,24,1984-01-01
60154,24,1977-01-01
5968676,24,1984-01-01
93282,24,1977-01-01
761218,24,1988-01-01
225691,24,1997-01-01
51948,24,1989-01-01
2010730,24,1992-01-01
757038,24,1994-01-01
2091194,24,1979-01-01
