id_genre,id_auteur
5,3617
21,3617
5,8051
46,8051
647,8051
5,1240
35,1240
5,7285
5,1455
5,1838
29,1838
4,15481463
119,15481463
5,7717
32,7717
5,3137322
17,3137322
5,957894
118,957894
5,7195
5,24556
5,316
5,566
9,566
5,11139
7,11139
32,11139
5,11072
32,11072
5,4191
29,4191
5,1943477
5,7799
118,1020792
5,11466
5,3706
95,3706
5,819789
647,819789
5,1036615
5,306
5,762707
37,762707
5,3190
647,3190
5,1825
5,4012
1,16291
5,16291
5,2408
1,53535
5,2931
5,39412
5,9343
1,22067
5,22067
1,16549
27,16549
5,57428
5,8361
5,40398
1,34589
5,34589
5,335919
6,8054971
5,156327
5,1730
5,167047
1,6760
1,20850
5,20850
119,4784416
1,85989
1,201535
5,201535
5,1169504
9,1169504
5,24655
1,520296
5,49612
5,27874
1,4046
5,4046
21,4046
5,80212
5,14469
5,42919
5,1421619
1,131
5,615274
1,5023
1,202867
5,25334
21,25334
5,6247
5,575
9,575
5,981834
1,24844
5,24844
5,6331
5,27779
9,27779
5,9833
41,9833
1,1074866
5,39402
1,44023
46,44023
72,44023
5,22665
5,5918
21,5918
37,27498
2,16961
5,861
2,8072579
5,8381790
5,23129
5,30830
5,6878
5,16747
46,6281688
9,380
5,2522
5,13974
6,13974
5,7844
5,18907
5,93353
5,2633
5,2578
9,798
5,6538289
5,713
5,2715
46,5869
5,7136914
21,7136914
5,1467
5,37766
5,16272
45,16272
5,7995
46,7995
5,12542
74,5657
5,1040250
5,3075
5,5600
5,16204
21,16204
5,10039
5,3620
5,5768
45,5768
5,4917067
5,6417
5,269069
5,15830
5,8842
46,8842
5,4345
21,4345
5,58851
21,58851
5,2226
5,12833
5,6125
5,28186
9,28186
5,44605
5,2893961
5,19708
21,19708
5,18930
5,4030
21,4030
29,4030
5,3012988
29,3012988
35,4785
5,7130
21,7130
5,1055
21,1055
5,626222
5,4037220
29,4037220
89,4037220
5,26242
5,4116
58,4116
5,128382
118,128382
5,5152
29,5152
5,3167
29,435477
5,4174
9,4174
37,12950
5,3681
37,153734
37,548551
5,6085
9,6085
5,39326
213,39326
647,39326
1,6941
7,6941
5,9068
5,9020
21,9020
5,7385
120,7385
5,7779
45,7779
5,7927
5,9629
72,9629
5,157779
9,3083854
72,3083854
1,4820
5,31457
29,31457
118,1260
46,137261
74,137261
5,6343
29,4026
5,235
9,11882
1,36714
9,15445
5,16770310
5,16892
21,16892
5,12584
5,7287
118,7287
9,28828
1,1411964
118,401
119,401
7,104728
72,104728
46,43443
72,43443
9,5237
37,5333630
37,5447785
37,4824985
37,6443493
37,4700629
72,4700629
2,1530940
5,1415543
37,5020443
37,5038699
37,5169670
5,6542656
37,5445209
37,1428675
37,6470511
37,5308881
37,6576193
37,5773867
37,4887264
58,5823058
5,4889188
37,5298677
37,6469948
37,4601855
37,6245296
2,6476392
5,3228055
5,18880
37,4906436
5,165105
37,165105
5,4864330
32,4629065
37,4662744
5,806500
37,5249972
37,4499623
45,4499623
2,6527314
37,4864634
37,5816255
5,40593
5,5194
32,5194
5,5099267
5,4721318
5,8166
213,8166
5,25
37,25
5,3119
5,1370283
32,1370283
32,34408
32,5295294
32,22018
5,16667
1,1879
7,5816
2,58846
5,3441
6,5293
46,14033
74,14033
29,9876
95,9876
2,8158089
5,7419
5,3619
32,3619
5,26897
37,50873
79,26306
5,2448
2,7738947
37,4693312
5,7146498
7,6550279
5,5361693
37,5361693
37,4519247
7,7112593
45,7112593
32,7849515
6,8077080
32,7731270
32,7731179
37,7731179
2,6518370
5,8184276
37,6420147
32,5028484
2,6451574
5,6451574
37,6588802
5,36346
32,7091425
37,7349685
37,6166668
5,6863455
37,8031974
37,5805745
37,7751265
2,37249
5,5758689
37,3009541
45,3009541
37,4146484
2,6423161
37,4563332
2,6941559
40,6941559
37,8159417
2,4398628
37,5831672
5,8180726
37,6993187
32,7874735
2,6571021
2,6581207
37,484627
37,143691
5,5370827
37,7012378
37,6612545
32,3153008
37,7315430
37,7471427
45,7471427
37,7150198
37,5779555
32,2132743
32,7074741
40,6551789
37,5815432
37,6541831
2,7873610
37,5805483
2,4879423
2,6567432
2,7058694
40,7058694
2,7372898
2,6980925
2,2771724
58,7127521
2,5752457
2,2951194
2,6902956
2,7079478
2,6432984
2,5342916
2,239128
40,239128
5,6580884
58,7171978
5,8286871
58,7373567
2,7276454
2,5822912
58,7341481
2,8219684
2,6553058
2,7074841
2,7768203
5,13705141
2,8286020
2,7056720
58,7056720
2,6451625
2,6571986
2,13810432
37,13810432
5,18
5,8589
32,8589
5,10420
5,858
9,18143
118,10264
9,63760
46,1641
5,1624
29,1624
647,1624
5,29068
9,1235
213,1235
5,40311
9,40311
5,7565
5,6900
9,6900
